cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
19658,Pomi Frutas,POMIFRUTAS,FRTA,Agricultura,Consumo não Cíclico,14
19720,BRAZIL REALT,BRAZIL REALT,,Securitizadoras de Recebíveis,Financeiro,14
19739,Localiza,LOCALIZA,RENT,Aluguel de Carros,Consumo Cíclico,14
19763,EDP Brasil,ENERGIAS BR,ENBR,Energia Elétrica,Utilidade Pública,14
19836,Cosan,COSAN,CSAN,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",13
19852,TERMOPE,TERMOPE,TMPE,Energia Elétrica,Utilidade Pública,14
19879,Light,LIGHT S/A,LIGT,Energia Elétrica,Utilidade Pública,14
19909,BRMalls,BR MALLS PAR,BRML,Exploração de Imóveis,Financeiro,14
19925,BR Properties,BR PROPERT,BRPR,Exploração de Imóveis,Financeiro,13
900086,BRAIR,BRAIR,BRAR,,,0
19984,BRPR 56 SEC,BRPR 56 SEC,WTVR,Securitizadoras de Recebíveis,Financeiro,11
19992,Totvs,TOTVS,TOTS,Programas e Serviços,Tecnologia da Informação,14
20010,Equatorial Energia,EQUATORIAL,EQTL,Energia Elétrica,Utilidade Pública,14
20028,Valid,VALID,VLID,Serviços Diversos,Bens Industriais,14
20036,BrasilAgro,BRASILAGRO,AGRO,Agricultura,Consumo não Cíclico,13
20044,CSU Cardsystem,CSU DIGITAL,CSUD,Serviços Financeiros Diversos,Financeiro,14
20060,Lupatech,LUPATECH,LUPA,Equipamentos e Serviços,"Petróleo, Gás e Biocombustíveis",14
20087,Embraer,EMBRAER,EMBR,Material Aeronáutico e de Defesa,Bens Industriais,14
20125,Odontoprev,ODONTOPREV,ODPV,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",Saúde,14
20192,AUTOBAN,AUTOBAN,ANHB,Exploração de Rodovias,Bens Industriais,14
20222,GAIA SECURIT,GAIA SECURIT,,Securitizadoras de Recebíveis,Financeiro,12
20257,Taesa,TAESA,TAEE,Energia Elétrica,Utilidade Pública,14
20303,CEMIG DIST,CEMIG DIST,CMGD,Energia Elétrica,Utilidade Pública,14
20320,CEMIG GT,CEMIG GT,CMGT,Energia Elétrica,Utilidade Pública,14
20338,M. Dias Branco,M.DIASBRANCO,MDIA,Alimentos Diversos,Consumo não Cíclico,14
20346,Profarma,PROFARMA,PFRM,Medicamentos e Outros Produtos,Saúde,14
20354,Terra Santa,TERRA SANTA,TESA,Agricultura,Consumo não Cíclico,11
20362,Positivo,POSITIVO TEC,POSI,Computadores e Equipamentos,Tecnologia da Informação,14
20370,Lopes,LOPES BRASIL,LPSB,Intermediação Imobiliária,Financeiro,14
20397,ECOVIAS,ECOVIAS,ECOV,Exploração de Rodovias,Bens Industriais,14
